cycle_number,measurement_time_relative,voltage_measured_smooth,current_measured_smooth,temperature_measured_smooth,soh
3,0.0,4.186310184153035,-0.0832604708831572,23.786053693549675,1.0
3,9.421999999999995,4.11429975981761,-0.6906261088248559,23.831868154084844,1.0
3,19.578000000000003,4.0525462622213,-1.1995888906368872,23.885475074548182,1.0
3,29.016,4.0010496913641065,-1.610148816319251,23.9468744549397,1.0
3,38.485,3.959810047246029,-1.9223058858719473,24.016066295259385,1.0
3,47.906,3.9288273298670826,-2.1360600992949874,24.093050595507364,1.0
3,57.328,3.9137791305682703,-2.1785482821576214,24.18922499321689,1.0
3,66.75,3.9218223793552216,-2.0101349881878443,24.288356690993343,1.0
3,76.156,3.914485777766089,-2.0091554217754024,24.38284105997261,1.0
3,85.594,3.907622624374843,-2.009507594168612,24.477142287499895,1.0
3,95.031,3.901186928630496,-2.0096904764867234,24.572967683574607,1.0
3,104.391,3.895179651040243,-2.0095661822406905,24.66818505898905,1.0
3,113.766,3.889555056544958,-2.0093525787823476,24.763167507738466,1.0
3,123.125,3.8842623585271263,-2.0099415517484545,24.860489923825114,1.0
3,132.531,3.879229890232794,-2.010217617700672,24.957967351289245,1.0
3,141.938,3.87447008678382,-2.009921174352039,25.05272160274228,1.0
3,151.328,3.869919122030899,-2.0098954200130934,25.147862852260705,1.0
3,160.735,3.865573080469811,-2.009971854372505,25.240515070862948,1.0
3,170.125,3.86141611631422,-2.0096502664584395,25.3332774768887,1.0
3,179.531,3.857365123924486,-2.009314552581147,25.424955981693525,1.0
3,188.938,3.8534382849605,-2.0091367507590356,25.51697037226774,1.0
3,198.344,3.849694856664161,-2.0088454315114146,25.60736458898465,1.0
3,207.719,3.846027360314886,-2.0089927889835537,25.698219329321702,1.0
3,217.172,3.842470878793594,-2.009667265602974,25.788670162894405,1.0
3,226.578,3.839007375490454,-2.0096710512642355,25.87874999771123,1.0
3,235.938,3.835682976668735,-2.009264909795159,25.964363030820607,1.0
3,245.36,3.832437709844139,-2.008908204897162,26.05068748442292,1.0
3,254.828,3.8292698041344737,-2.0089673000114594,26.134093539395607,1.0
3,264.188,3.8261901181585793,-2.008388766916089,26.219305690261223,1.0
3,273.594,3.823151364845061,-2.007629188635342,26.30346490042151,1.0
3,283.0,3.820220695192764,-2.0081121609139205,26.386572285678092,1.0
3,292.406,3.817383942742787,-2.0081028603129485,26.469688929719,1.0
3,301.86,3.8145726960641304,-2.0085748500198113,26.55206195605408,1.0
3,311.219,3.811774727840743,-2.009295170953035,26.634367024503288,1.0
3,320.563,3.809042473294671,-2.009612898345882,26.716715860411888,1.0
3,329.953,3.80636770191567,-2.009433264590633,26.79669240489263,1.0
3,339.328,3.8037291137666935,-2.00885126501022,26.87595915980701,1.0
3,348.688,3.801121729681185,-2.0086198342287305,26.955221016847457,1.0
3,358.063,3.798562752909073,-2.0083194482535345,27.033161562264432,1.0
3,367.422,3.796037767368614,-2.0086834985239244,27.111604259980517,1.0
3,376.828,3.793605471628128,-2.008697960395996,27.190082160255308,1.0
3,386.235,3.79120041075569,-2.0089157646902382,27.26853289259373,1.0
3,395.625,3.788792432858348,-2.0091765739622303,27.346862393187596,1.0
3,405.047,3.786375798734444,-2.0092371684994403,27.42482029885896,1.0
3,414.469,3.783999689028769,-2.00913650048295,27.50278270267482,1.0
3,423.86,3.781625737998951,-2.0087382793369577,27.577893705096173,1.0
3,433.266,3.779215969023355,-2.0086809827572902,27.650955683392542,1.0
3,442.625,3.776814075152473,-2.0093942191190544,27.725330993184592,1.0
3,452.125,3.77441518978918,-2.0101578667789313,27.79702521157077,1.0
3,461.5,3.772050955447221,-2.010705790855379,27.867609049112172,1.0
3,470.86,3.769713363825715,-2.01031905634416,27.93787076313502,1.0
3,480.219,3.767344931008415,-2.010415911925215,28.00700522995494,1.0
3,489.641,3.76500927414173,-2.0102379059470077,28.074661678811744,1.0
3,499.0,3.7626891594991454,-2.0092845400419077,28.13962431642601,1.0
3,508.391,3.760354200789637,-2.0086673150127177,28.204540034858766,1.0
3,517.735,3.7580404508839154,-2.0082145731081193,28.26728646613274,1.0
3,527.078,3.75569320916764,-2.008339087009216,28.329156661260015,1.0
3,536.422,3.753373071823733,-2.00844723074945,28.39258052915783,1.0
3,545.813,3.751064103358182,-2.008354108074152,28.45473730175508,1.0
3,555.188,3.7487544459898543,-2.008460494224406,28.515554704209837,1.0
3,564.547,3.7464744121498574,-2.0087503578112327,28.57652308945051,1.0
3,573.938,3.744211240134451,-2.009001962027069,28.634213746992742,1.0
3,583.313,3.7419769594590537,-2.0093259289589005,28.688057908878218,1.0
3,592.688,3.739727903232819,-2.009455095015958,28.738363770768984,1.0
3,602.047,3.737516584346293,-2.009491142552186,28.78832825115868,1.0
